E.coli date,E.coli value,Max rainfall date (past 24 hours),Max rainfall value (past 24 hours),Max rainfall value (past 168 hours),Total rainfall value (past 168 hours)
2023-02-13,272.0,2023-02-12,0.0,18.6,23.8
2023-02-20,683.0,2023-02-19,0.0,20.6,40.2
2023-02-27,262.0,2023-02-26,3.6,10.8,18.0
2023-03-06,313.0,2023-03-05,3.2,3.2,6.4
2023-03-13,295.0,2023-03-12,0.2,3.8,5.2
2023-03-20,379.0,2023-03-19,1.4,23.8,37.2
2023-03-27,1553.0,2023-03-26,1.8,21.6,24.000000000000004
2023-04-03,241.0,2023-04-02,2.6,25.2,33.4
2023-04-11,298.0,2023-04-10,0.2,0.6,0.8
2023-04-17,109.0,2023-04-16,0.0,20.8,39.800000000000004
2023-04-24,754.0,2023-04-23,49.0,49.0,111.4
2023-11-06,169.0,2023-11-05,5.6,8.8,23.200000000000003
2023-11-13,771.0,2023-11-12,0.0,0.2,0.2
2023-11-20,657.0,2023-11-19,7.6,7.6,15.2
2023-11-27,146.0,2023-11-26,0.8,13.0,30.6
2023-12-04,749.0,2023-12-03,0.0,4.2,6.2
2023-12-11,2600.0,2023-12-10,0.0,10.6,17.6
2023-12-18,512.0,2023-12-17,29.2,29.2,46.4
2023-12-27,482.0,2023-12-26,9.0,16.6,27.6
2024-01-03,327.0,2024-01-02,0.0,24.4,36.4
2024-01-08,158.0,2024-01-07,0.2,10.4,14.200000000000001
2024-01-15,443.0,2024-01-14,0.0,0.4,0.4
2024-01-23,414.0,2024-01-22,0.0,3.4,6.4
2024-01-29,1789.0,2024-01-28,22.0,22.0,25.4
2024-02-05,134.0,2024-02-04,7.6,9.0,17.0
2024-02-12,228.0,2024-02-11,0.0,2.2,2.6000000000000005
2024-02-19,185.0,2024-02-18,0.6,0.6,0.6
2024-02-26,2224.0,2024-02-25,0.2,1.8,2.0
2024-03-04,323.0,2024-03-03,1.8,14.6,30.799999999999997
2024-03-11,389.0,2024-03-10,0.0,24.8,32.4
2024-03-18,10.0,2024-03-17,0.0,1.2,1.2
2024-03-25,345.0,2024-03-24,0.0,1.4,1.4
2024-04-02,63.0,2024-04-01,0.0,4.0,4.0
2024-04-08,1842.0,2024-04-07,0.0,16.4,16.4
2024-04-15,213.0,2024-04-14,3.0,36.2,43.800000000000004
2024-04-22,119.0,2024-04-21,0.0,2.8,3.2
